=== ITEMS EXTRAITS DU csS ===
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470357996650365657 | f1 varint = 1470357996650365657
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470357941587542159 | f1 varint = 1470357941587542159
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357998495858744 | f1 varint = 1470357998495858744
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470357996650365657 | f1 varint = 1470357996650365657
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470357941587542159 | f1 varint = 1470357941587542159
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470358122462708341 | f1 varint = 1470358122462708341
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1469795163147600381 | f1 varint = 1469795163147600381
UID: 1470358066309366156 | f1 varint = 1470358066309366156
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470358122462708341 | f1 varint = 1470358122462708341
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470358219418239282 | f1 varint = 1470358219418239282
UID: 1470358066275811556 | f1 varint = 1470358066275811556
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470358122462708341 | f1 varint = 1470358122462708341
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470358066292588548 | f1 varint = 1470358066292588548
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470358122462708341 | f1 varint = 1470358122462708341
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470358122496262179 | f1 varint = 1470358122496262179
UID: 1470358066275811892 | f1 varint = 1470358066275811892
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470358122462708341 | f1 varint = 1470358122462708341
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470358122496262471 | f1 varint = 1470358122496262471
UID: 1470358066292588785 | f1 varint = 1470358066292588785
UID: 1470358021816189240 | f1 varint = 1470358021816189240
UID: 1470357998193869132 | f1 varint = 1470357998193869132
UID: 1470357998344864033 | f1 varint = 1470357998344864033
UID: 1470357996885246438 | f1 varint = 1470357996885246438
UID: 1470357998411972623 | f1 varint = 1470357998411972623
UID: 1470357998126760625 | f1 varint = 1470357998126760625
UID: 1470357998495858744 | f1 varint = 1470357998495858744
UID: 1470357997942211275 | f1 varint = 1470357997942211275
UID: 1470357997908656690 | f1 varint = 1470357997908656690
UID: 1470357997438895017 | f1 varint = 1470357997438895017
UID: 1470357997724106856 | f1 varint = 1470357997724106856
UID: 1470357997371785862 | f1 varint = 1470357997371785862
UID: 1470357996650365657 | f1 varint = 1470357996650365657
UID: 1470357996700696719 | f1 varint = 1470357996700696719
UID: 1470357941587542159 | f1 varint = 1470357941587542159
UID: 1468669294446379650 | f1 varint = 1468669294446379650

